unique_id,ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
DD,2025-12-01,575890.0
DD,2025-12-02,500420.62
DD,2025-12-03,358185.66
DD,2025-12-04,304195.9
DD,2025-12-05,355865.7
DD,2025-12-06,531119.44
DD,2025-12-07,311489.62
DD,2025-12-08,347809.6
DD,2025-12-09,353151.47
DD,2025-12-10,388200.94
DD,2025-12-11,374865.4
DD,2025-12-12,446084.2
DD,2025-12-13,479717.7
DD,2025-12-14,414954.88
DD,2025-12-15,468037.0
DD,2025-12-16,490178.5
DD,2025-12-17,507820.7
DD,2025-12-18,662462.1
DD,2025-12-19,727992.25
DD,2025-12-20,763740.4
DD,2025-12-21,627983.1
DD,2025-12-22,967831.56
DD,2025-12-23,1045606.3
DD,2025-12-24,759193.9
DD,2025-12-25,543261.56
DD,2025-12-26,337324.94
DD,2025-12-27,359056.3
DD,2025-12-28,301371.78
DD,2025-12-29,324854.06
DD,2025-12-30,303859.25
DD,2025-12-31,187017.31
