ds,"NHITS_steps1_lr0.001_batch32_activationReLU_blocks[1, 1, 1]_mlp_units[[512, 512], [512, 512], [512, 512]]_pool_kernel[2, 2, 1]_freq_downsample[4, 2, 1]_poolingMaxPool1d_dropout0.0_scalerrobust_window_batch1024_step1_seed1"
2024-04-21,1716671.2
2024-04-22,1592180.0
2024-04-23,1723735.8
2024-04-24,1812152.5
2024-04-25,1882361.8
2024-04-26,1950644.8
2024-04-27,1441674.9
2024-04-28,1646532.5
2024-04-29,1398891.0
2024-04-30,1786382.9
2024-05-01,1575280.1
2024-05-02,1668206.5
2024-05-03,1813775.2
2024-05-04,1639447.5
2024-05-05,1793446.2
2024-05-06,1615916.5
2024-05-07,1618409.8
2024-05-08,1870264.9
2024-05-09,1831248.0
2024-05-10,1513417.8
2024-05-11,1415173.4
2024-05-12,1436759.0
2024-05-13,1441481.0
2024-05-14,1438888.0
2024-05-15,1785749.0
2024-05-16,1726340.2
2024-05-17,1699886.8
2024-05-18,1437444.4
2024-05-19,1590278.2
2024-05-20,1455201.2
2024-05-21,1573359.9
2024-05-22,1765860.9
2024-05-23,1722805.8
2024-05-24,1370383.1
2024-05-25,1431941.5
2024-05-26,1614179.1
2024-05-27,1664309.5
2024-05-28,1540059.1
2024-05-29,1691721.1
2024-05-30,1433255.8
2024-05-31,1675144.1
2024-06-01,984784.0
2024-06-02,1277273.2
2024-06-03,1408580.9
2024-06-04,1695564.6
2024-06-05,1792061.5
2024-06-06,1421815.4
2024-06-07,1663594.0
2024-06-08,1575693.8
2024-06-09,1528372.9
2024-06-10,1428461.0
2024-06-11,1390760.9
2024-06-12,1393566.8
2024-06-13,1429627.1
2024-06-14,1760851.6
2024-06-15,1616272.5
2024-06-16,1632001.1
2024-06-17,1511301.1
2024-06-18,1665973.1
2024-06-19,1637614.8
2024-06-20,1598425.8
2024-06-21,1860374.8
2024-06-22,1637259.2
2024-06-23,1514280.4
2024-06-24,1786612.5
2024-06-25,1788445.8
2024-06-26,1643621.8
2024-06-27,1705172.6
2024-06-28,1768384.1
2024-06-29,1556799.2
2024-06-30,1858968.5
2024-07-01,1862010.2
2024-07-02,1276329.6
2024-07-03,1674826.0
2024-07-04,1400513.8
2024-07-05,1539401.8
2024-07-06,1378704.9
2024-07-07,1951587.8
2024-07-08,1959883.5
2024-07-09,1853937.8
2024-07-10,1666351.2
2024-07-11,1872433.8
2024-07-12,1792629.0
2024-07-13,1573334.1
2024-07-14,1623036.8
2024-07-15,1647573.9
2024-07-16,1297559.1
2024-07-17,1679997.2
2024-07-18,1906389.8
2024-07-19,1506848.5
2024-07-20,1237190.4
2024-07-21,1632678.5
2024-07-22,2042274.8
2024-07-23,2047274.5
2024-07-24,1933790.5
2024-07-25,1797803.0
2024-07-26,1987956.5
2024-07-27,1703680.0
2024-07-28,1694036.5
2024-07-29,1685273.5
2024-07-30,2049686.8
2024-07-31,1919180.8
2024-08-01,1647080.5
2024-08-02,1854091.5
2024-08-03,1744006.1
2024-08-04,1955882.5
2024-08-05,1881821.2
2024-08-06,2031888.2
2024-08-07,1728658.9
2024-08-08,1774705.8
2024-08-09,1490096.5
2024-08-10,1854587.5
2024-08-11,1763339.6
2024-08-12,1358896.5
2024-08-13,1466110.2
2024-08-14,1629832.2
2024-08-15,1794435.8
2024-08-16,1827931.2
2024-08-17,1604309.5
2024-08-18,1620155.8
2024-08-19,1528027.2
2024-08-20,1416923.1
2024-08-21,1564740.8
2024-08-22,1461400.8
2024-08-23,1825028.0
2024-08-24,1784880.5
2024-08-25,1928509.8
2024-08-26,1675131.6
2024-08-27,1688127.2
2024-08-28,1842452.0
2024-08-29,1859973.8
2024-08-30,1932561.4
2024-08-31,1697212.9
2024-09-01,1914562.6
2024-09-02,1590521.0
2024-09-03,1804917.5
2024-09-04,1585119.0
2024-09-05,1717681.1
2024-09-06,1560125.5
2024-09-07,1277955.1
2024-09-08,1670872.2
2024-09-09,1466819.5
2024-09-10,1863624.5
2024-09-11,1883618.8
2024-09-12,1736669.9
2024-09-13,1508799.1
2024-09-14,1545421.9
2024-09-15,1689004.5
2024-09-16,1963148.0
2024-09-17,1731670.1
2024-09-18,1551738.8
2024-09-19,1618784.9
2024-09-20,1708407.2
2024-09-21,1486616.6
2024-09-22,1857386.2
2024-09-23,1546844.2
2024-09-24,1712889.2
2024-09-25,1645467.2
2024-09-26,1809474.6
2024-09-27,1385135.0
2024-09-28,1614663.2
2024-09-29,1390038.0
2024-09-30,1779477.0
2024-10-01,1605030.8
